Letterboxd URI,Title,Year,imdb,tmdb
/film/murder-on-the-orient-express-2017/,Murder on the Orient Express,2017,tt3402236,392044
/film/the-matrix-reloaded/,The Matrix Reloaded,2003,tt0234215,604
/film/true-grit-2010/,True Grit,2010,tt1403865,44264
/film/dog-day-afternoon/,Dog Day Afternoon,1975,tt0072890,968
/film/tropic-thunder/,Tropic Thunder,2008,tt0942385,7446
/film/breakfast-at-tiffanys/,Breakfast at Tiffany's,1961,tt0054698,164
/film/night-at-the-museum/,Night at the Museum,2006,tt0477347,1593
/film/the-little-mermaid/,The Little Mermaid,1989,tt0097757,10144
/film/rise-of-the-planet-of-the-apes/,Rise of the Planet of the Apes,2011,tt1318514,61791
/film/romeo-juliet-1996/,Romeo + Juliet,1996,tt0117509,454
/film/ted/,Ted,2012,tt1637725,72105
/film/if-beale-street-could-talk/,If Beale Street Could Talk,2018,tt7125860,465914
/film/shiva-baby-2020/,Shiva Baby,2020,tt11317142,664300
/film/sing-street/,Sing Street,2016,tt3544112,369557
/film/blue-valentine/,Blue Valentine,2010,tt1120985,46705
/film/fear-and-loathing-in-las-vegas/,Fear and Loathing in Las Vegas,1998,tt0120669,1878
/film/blue-is-the-warmest-color/,Blue Is the Warmest Color,2013,tt2278871,152584
/film/the-birds/,The Birds,1963,tt0056869,571
/film/the-king-of-comedy/,The King of Comedy,1982,tt0085794,262
/film/logan-lucky/,Logan Lucky,2017,tt5439796,399170
/film/the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe/,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,tt0363771,411
/film/bridesmaids/,Bridesmaids,2011,tt1478338,55721
/film/girl-interrupted/,"Girl, Interrupted",1999,tt0172493,3558
/film/cinema-paradiso/,Cinema Paradiso,1988,tt0095765,11216
/film/fallen-angels/,Fallen Angels,1995,tt0112913,11220
/film/contagion/,Contagion,2011,tt1598778,39538
/film/hail-caesar-2016/,"Hail, Caesar!",2016,tt0475290,270487
/film/barry-lyndon/,Barry Lyndon,1975,tt0072684,3175
/film/spring-breakers/,Spring Breakers,2012,tt2101441,122081
/film/the-lego-batman-movie/,The Lego Batman Movie,2017,tt4116284,324849
/film/paprika-2006/,Paprika,2006,tt0851578,4977
/film/nobody-2021/,Nobody,2021,tt7888964,615457
/film/moulin-rouge-2001/,Moulin Rouge!,2001,tt0203009,824
/film/house/,House,1977,tt0076162,25623
/film/atomic-blonde/,Atomic Blonde,2017,tt2406566,341013
/film/the-fifth-element/,The Fifth Element,1997,tt0119116,18
/film/the-goonies/,The Goonies,1985,tt0089218,9340
/film/paterson/,Paterson,2016,tt5247022,370755
/film/the-conjuring-2/,The Conjuring 2,2016,tt3065204,259693
/film/rango/,Rango,2011,tt1192628,44896
/film/thelma-louise/,Thelma & Louise,1991,tt0103074,1541
/film/the-fly-1986/,The Fly,1986,tt0091064,9426
/film/the-40-year-old-virgin/,The 40 Year Old Virgin,2005,tt0405422,6957
/film/300/,300,2006,tt0416449,1271
/film/8-half/,8½,1963,tt0056801,422
/film/the-secret-life-of-walter-mitty-2013/,The Secret Life of Walter Mitty,2013,tt0359950,116745
/film/malcolm-marie/,Malcolm & Marie,2021,tt12676326,722913
/film/war-for-the-planet-of-the-apes/,War for the Planet of the Apes,2017,tt3450958,281338
/film/maleficent/,Maleficent,2014,tt1587310,102651
/film/the-fault-in-our-stars/,The Fault in Our Stars,2014,tt2582846,222935
/film/the-place-beyond-the-pines/,The Place Beyond the Pines,2012,tt1817273,97367
/film/the-post-2017/,The Post,2017,tt6294822,446354
/film/me-and-earl-and-the-dying-girl/,Me and Earl and the Dying Girl,2015,tt2582496,308369
/film/matilda/,Matilda,1996,tt0117008,10830
/film/gremlins/,Gremlins,1984,tt0087363,927
